id,name,address,latitude,longitude
13090,LUCKY & HAPPY RESTAURANT,5602 7 AVENUE Brooklyn 11220,40.639075,-74.009416
13095,PIER 53 COFFEE & SANDWICH SHOP,5313 2 AVENUE Brooklyn 11220,40.640771,-74.016133
213,CRYSTAL ROOM,67 OLYMPIA BOULEVARD Staten Island 10305,40.592819,-74.070819
215,LA PARISIENNE DINER,910 SEVENTH AVENUE Manhattan 10019,40.766003,-73.979706
216,JOE ALLEN RESTAURANT,326 WEST 46 STREET Manhattan 10036,40.759522,-73.990194
217,JOYCE'S TAVERN,3823 RICHMOND AVENUE Staten Island 10312,40.545034,-74.16561
218,TONY'S PIZZA,1014 LONGWOOD AVENUE The Bronx 10459,40.816644,-73.896767
219,FIORENTINO RISTORANTE,313 AVENUE U Brooklyn 11223,40.597062,-73.972474
220,NOSTRAND DONUT SHOP,1449 NOSTRAND AVENUE Brooklyn 11226,40.650993,-73.949592
221,KEATS RESTAURANT,842 2 AVENUE Manhattan 10017,40.752313,-73.972589
223,LAVELLE'S ADMIRAL'S CLUB,45-15 BROADWAY Queens 11103,40.76373,-73.912399
257,NANCY WHISKEY PUB,1 LISPENARD STREET Manhattan 10013,40.720542,-74.005099
258,EMERALD PUB,308 SPRING STREET Manhattan 10013,40.725982,-74.00848
259,TAP ROOM,180 CENTRAL PARK SOUTH Manhattan 10019,40.766672,-73.978565
226,KOSHER HUT OF BROOKLYN,709 KINGS HIGHWAY Brooklyn 11223,40.606277,-73.965206
224,NEW YORK PIZZA SUPREMA,413 8 AVENUE Manhattan 10001,40.750166,-73.996575
227,CAESAR'S PALACE,493 AMSTERDAM AVENUE Manhattan 10024,40.78617,-73.976122
229,LENIHAN'S SALOON,119-09 ATLANTIC AVENUE Queens 11418,40.694269,-73.827586
230,NEW CORNER,7201 8 AVENUE Brooklyn 11228,40.617485,-74.01254
231,Princeton Club,15 WEST   43 STREET Manhattan 10036,40.759522,-73.990194
232,ARTURO'S,106 WEST HOUSTON STREET Manhattan 10012,40.727289,-74.000503
233,LABETTI'S POST # 2159,390 HYLAN BOULEVARD Staten Island 10305,40.609782,-74.074421
234,PETER LUGER STEAKHOUSE,178 BROADWAY Brooklyn 11211,40.70993,-73.962369
236,BLARNEY CASTLE,202-24 ROCKAWAY POINT BOULEVARD Queens 11697,40.560788,-73.912245
237,MCALEER'S PUB,425 AMSTERDAM AVENUE Manhattan 10024,40.78404,-73.977674
238,LONDON LENNIES,6388 WOODHAVEN BOULEVARD Queens 11374,40.721883,-73.867062
239,V & T RESTAURANT,1024 AMSTERDAM AVENUE Manhattan 10025,40.803349,-73.963587
241,NAOMI KOSHER PIZZA,6828 MAIN STREET Queens 11367,40.732416,-73.824943
242,ROLL-N-ROASTER,2901 EMMONS AVENUE Brooklyn 11235,40.583936,-73.939491
243,DANISH ATHLETIC CLUB,735 65 STREET Brooklyn 11220,40.633508,-74.013988
244,LE PERIGORD,405 EAST   52 STREET Manhattan 10022,40.755063,-73.965031
245,O'HARA'S,120 CEDAR STREET Manhattan 10006,40.710163,-74.013897
246,MCDONALD'S,1560 BROADWAY Manhattan 10036,40.759016,-73.985224
247,JARDIN DE CHINA REST,37-37 JUNCTION BOULEVARD Queens 11368,40.75035,-73.870115
248,BLARNEY STONE,11 TRINITY PLACE Manhattan 10006,40.706384,-74.014069
250,YANKEE CLIPPER,0 LAGUARDIA AIRPORT BLDG Queens 11371,40.771167,-73.873808
251,O'HANLON'S PUB,22-57 31 STREET Queens 11105,40.775124,-73.911945
252,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,2222 HAVILAND AVENUE The Bronx 10462,40.83066,-73.849381
253,SUPERNOVA-NOVOTEL HOTEL,226 WEST 52 ND STREET Manhattan 10019,40.762843,-73.983551
254,PORTO BELLO RESTAURANT,208 THOMPSON STREET Manhattan 10012,40.72883,-73.999319
255,PETE'S CLAM STOP,1320 SURF AVENUE Brooklyn 11224,40.575506,-73.981719
256,HOP KEE RESTAURANT,21 MOTT STREET Manhattan 10013,40.714442,-73.998766
261,NANCY'S FIRE SIDE,25541 JAMAICA AVENUE Queens 11001,40.727459,-73.709573
262,MARGHERITA PIZZA,16304 JAMAICA AVENUE Queens 11432,40.704704,-73.796771
264,JOE & PAT'S PIZZERIA,1758 VICTORY BOULEVARD Staten Island 10314,40.613104,-74.122237
265,DORRIAN'S RED HAND RESTAURANT,1616 2 AVENUE Manhattan 10028,40.776352,-73.952808
